Size,Repetition,AVL_Time_us,Treap_Time_us
131072,25,0.740,3.367
131072,26,1.408,0.632
131072,27,0.875,0.590
131072,28,2.441,0.862
131072,29,0.563,0.730
131072,30,0.463,0.657
131072,31,1.454,0.686
131072,32,0.453,0.824
131072,33,0.561,2.751
131072,34,0.429,0.584
131072,35,0.869,0.576
131072,36,2.620,0.595
131072,37,2.399,0.571
131072,38,0.392,0.758
131072,39,0.404,2.829
131072,40,2.240,4.216
131072,41,1.963,1.293
131072,42,6.728,0.852
131072,43,0.485,0.600
131072,44,0.579,0.530
131072,45,0.947,0.635
131072,46,0.445,0.615
131072,47,2.288,0.781
131072,48,0.785,0.682
131072,49,1.279,0.631
131072,50,0.406,0.700
262144,1,0.576,1.071
262144,2,0.546,3.484
262144,3,0.969,0.990
262144,4,1.042,0.927
262144,5,1.382,1.024
262144,6,0.633,0.943
262144,7,1.408,1.844
262144,8,2.388,0.995
262144,9,0.668,1.177
262144,10,10.629,1.412
262144,11,1.324,1.557
262144,12,0.826,1.333
262144,13,1.116,3.272
262144,14,0.699,1.027
262144,15,0.613,1.250
262144,16,0.871,1.101
262144,17,0.767,1.315
262144,18,0.767,1.269
262144,19,0.642,1.910
262144,20,1.705,0.943
262144,21,1.475,1.321
262144,22,0.848,1.133
262144,23,0.795,5.386
262144,24,0.828,1.174
262144,25,1.022,1.452
262144,26,0.919,1.345
262144,27,1.405,1.255
262144,28,0.589,6.153
262144,29,0.566,0.992
262144,30,0.869,3.082
262144,31,0.853,1.758
262144,32,1.918,1.986
262144,33,0.857,2.824
262144,34,1.161,1.853
262144,35,0.564,1.153
262144,36,0.635,1.012
262144,37,0.540,1.197
262144,38,0.687,1.008
262144,39,1.829,1.182
262144,40,1.147,1.099
262144,41,0.575,1.006
262144,42,2.631,1.514
262144,43,1.071,1.228
262144,44,0.804,1.183
262144,45,0.675,1.199
262144,46,0.899,1.169
262144,47,2.112,1.212
262144,48,0.652,1.149
262144,49,0.786,1.890
262144,50,0.729,1.070
