Size,Repetition,AVL_Time_ms,Treap_Time_ms
65536,41,0.000871,0.001797
65536,42,0.000697,0.009889
65536,43,0.000724,0.001633
65536,44,0.000689,0.001818
65536,45,0.004051,0.001844
65536,46,0.000753,0.005013
65536,47,0.000794,0.013605
65536,48,0.002669,0.001728
65536,49,0.000675,0.002595
65536,50,0.001774,0.001611
131072,1,0.001394,0.001934
131072,2,0.000992,0.002961
131072,3,0.000921,0.007764
131072,4,0.001134,0.012832
131072,5,0.000816,0.006252
131072,6,0.003271,0.001989
131072,7,0.005225,0.002178
131072,8,0.001045,0.002841
131072,9,0.001316,0.002400
131072,10,0.000906,0.002047
131072,11,0.000875,0.007912
131072,12,0.001006,0.009821
131072,13,0.000833,0.005159
131072,14,0.000898,0.002426
131072,15,0.001184,0.001983
131072,16,0.001113,0.014551
131072,17,0.000980,0.004974
131072,18,0.002448,0.004485
131072,19,0.001013,0.002038
131072,20,0.000913,0.002395
131072,21,0.001358,0.005007
131072,22,0.004329,0.015709
131072,23,0.000844,0.004521
131072,24,0.000988,0.003169
131072,25,0.001068,0.011009
131072,26,0.002601,0.003283
131072,27,0.002136,0.002119
131072,28,0.005595,0.002253
131072,29,0.001218,0.002468
131072,30,0.000833,0.002305
131072,31,0.000930,0.004663
131072,32,0.000832,0.005190
131072,33,0.000931,0.011297
131072,34,0.001179,0.005246
131072,35,0.001005,0.002490
131072,36,0.004674,0.002244
131072,37,0.003639,0.002096
131072,38,0.000856,0.009114
131072,39,0.000769,0.005958
131072,40,0.003615,0.012058
131072,41,0.002277,0.002477
131072,42,0.001258,0.002168
131072,43,0.000782,0.001701
131072,44,0.000878,0.001767
131072,45,0.004417,0.006472
131072,46,0.001537,0.001944
131072,47,0.001911,0.004759
131072,48,0.001777,0.002155
131072,49,0.010377,0.002344
131072,50,0.000774,0.002152
262144,1,0.000973,0.002467
262144,2,0.001037,0.009146
262144,3,0.001034,0.002542
262144,4,0.002563,0.002498
262144,5,0.003506,0.002720
262144,6,0.001189,0.002630
262144,7,0.002013,0.003803
262144,8,0.002885,0.002960
262144,9,0.001301,0.003136
262144,10,0.001715,0.009584
262144,11,0.001742,0.008536
262144,12,0.001135,0.003511
262144,13,0.001861,0.007548
262144,14,0.001271,0.002629
262144,15,0.000952,0.005172
262144,16,0.001780,0.002958
262144,17,0.001088,0.002904
262144,18,0.001174,0.002515
262144,19,0.001259,0.006585
262144,20,0.004015,0.005681
262144,21,0.001483,0.002700
262144,22,0.001349,0.003980
262144,23,0.001257,0.007631
262144,24,0.001367,0.005567
262144,25,0.001370,0.003059
262144,26,0.001187,0.002842
262144,27,0.001210,0.002800
262144,28,0.001196,0.014356
262144,29,0.000981,0.002917
262144,30,0.001795,0.003944
262144,31,0.001934,0.003579
262144,32,0.006636,0.005471
262144,33,0.002582,0.013121
262144,34,0.001922,0.002912
262144,35,0.001013,0.002721
262144,36,0.001293,0.002504
262144,37,0.001003,0.002583
262144,38,0.001516,0.002650
262144,39,0.001945,0.003782
262144,40,0.003378,0.004354
262144,41,0.001054,0.003152
